COMBUSTIBLE,ESTADO,MODELO,FECHA_DE_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,MODALIDAD,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_CARGA,CAPACIDAD_PASAJEROS,PESO,POTENCIA,EJES,CANTIDAD
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,AUDI,E-TRON SPORTBACK,WAGON,,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,2595,408,2,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2021,2020,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3S,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1365,181,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,BMW,IX3 M SPORT,WAGON,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2180,286,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1345,170,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2019,2020,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,FURGON,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3125,,7365,161,2,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3S,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1365,181,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,BUS,Público,BYD,K9GA,CERRADA,,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,19500,402,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,749,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1965,108,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,CAMIONETA,Particular,BYD,SONG PRO EV,WAGON,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,2120,161,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,20,,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2014,2015,MOTO,MOTOCICLETA,Particular,YADEA,HAO KU (SPORTS),SIN CARROCERIA,60,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,1,0,1
ELECTRICO,ACTIVO,2019,2021,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3180,,7365,161,2,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,CAMIONETA,Particular,BMW,IX XDRIVE40,WAGON,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2440,326,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,0,CARGA,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,845,,2550,80,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,0,CARGA,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,845,,2550,80,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,BUS,Público,BYD,K9GA,CERRADA,,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,19500,402,2,1
ELECTRICO,ACTIVO,2010,2010,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MBJ,SIN CARROCERIA,90,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,0,0,0,0,0,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,0,0,20,0,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2019,2021,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,845,,2550,80,2,1
ELECTRICO,ACTIVO,2021,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,FURGON,2271,CARGA,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,3200,,7365,161,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CAMIONETA,Particular,JAC,HFC5037XXYD4EV1,DOBLE CABINA CON PLATON,796,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,0,,3000,147,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,20,,1
ELECTRICO,ACTIVO,2013,2012,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MJB,SIN CARROCERIA,70,,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,,,,,,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,BUS,Público,BYD,K9GA,CERRADA,,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,19500,402,2,1
ELECTRICO,ACTIVO,2013,2012,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MSG B,SIN CARROCERIA,70,,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,,,,,,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1345,170,2,1
