date, pm25, pm10, no2
2023/10/12, 66, , 19
2023/10/13, 69, , 29
2023/10/14, 83, , 25
2023/10/15, 79, , 12
2023/10/16, 74, , 13
2023/10/17, 56, , 21
2023/10/18, 60, , 25
2023/10/19, 77, , 25
2023/10/20, 86, , 23
2023/10/21, 80, , 21
2023/10/22, 64, , 19
2023/10/23, 73, , 21
2023/10/24, 71, , 22
2023/10/25, 74, , 23
2023/10/26, 83, , 19
2023/10/27, 84, , 14
2023/10/28, 62, , 9
2023/10/29, 33, , 9
2023/10/30, 35, , 18
2023/10/31, 47, , 16
2023/11/1, 55, , 23
2023/11/2, 59, , 19
2023/11/3, 59, , 16
2023/11/4, 59, , 17
2023/11/5, 55, , 13
2023/11/6, 59, , 13
2023/11/7, 57, , 17
2023/11/8, 56, , 22
2023/11/9, 65, , 21
2023/11/10, 77, , 22
2023/11/11, 76, , 16
2023/11/12, 64, , 13
2023/11/13, 59, , 10
2023/11/14, 52, , 16
2023/11/15, 48, , 19
2023/11/16, 58, , 17
2023/11/17, 57, , 17
2023/11/18, 70, , 14
2023/11/19, 61, , 11
2023/11/20, 56, , 16
2023/11/21, 48, , 14
2023/11/22, 51, , 14
2023/11/23, 56, , 15
2023/11/24, 57, , 17
2023/11/25, 59, , 13
2023/11/26, 59, , 11
2023/11/27, 52, , 16
2023/11/28, 53, , 17
2023/11/29, 66, , 16
2023/11/30, 65, , 17
2023/12/1, 56, , 19
2023/12/2, 74, , 17
2023/12/3, 76, , 12
2023/12/4, 62, , 16
2023/12/5, 59, , 18
2023/12/6, 63, , 21
2023/12/7, 67, , 22
2023/12/8, 76, , 15
2023/12/9, 85, , 15
2023/12/10, 73, , 12
2023/12/11, 59, , 15
2023/12/12, 57, , 15
2023/12/13, 55, , 16
2023/12/14, 58, , 18
2023/12/15, 70, , 20
2023/12/16, 74, , 20
2023/12/17, 73, , 12
2023/12/18, 62, , 13
2023/12/19, 52, , 15
2023/12/20, 51, , 15
2023/12/21, 54, , 17
2023/12/22, 59, , 15
2023/12/23, 62, , 16
2023/12/24, 65, , 12
2023/12/25, 71, , 11
2023/12/26, 78, , 17
2023/12/27, 62, , 17
2023/12/28, 54, , 15
2023/12/29, 69, , 14
2023/12/30, 63, , 14
2023/12/31, 53, , 9
2024/1/1, 51, , 7
2023/7/2, 61, , 5
2023/7/3, 60, , 4
2023/7/4, 58, , 8
2023/7/5, 65, , 9
2023/7/6, 60, , 11
2023/7/7, 61, , 15
2023/7/8, 67, , 10
2023/7/9, 63, , 6
2023/7/10, 60, , 11
2023/7/11, 65, , 14
2023/7/12, 71, , 10
2023/7/13, 56, , 5
2023/7/14, 59, , 9
2023/7/15, 58, , 12
2023/7/16, 58, , 8
2023/7/17, 47, , 15
2023/7/18, 52, , 10
2023/7/22, 65, , 14
2023/7/23, 83, , 11
2023/7/24, 87, , 12
2023/7/25, 62, , 19
2023/7/26, 59, , 20
2023/7/27, 73, , 16
2023/7/28, 82, , 17
2023/7/29, 87, , 13
2023/7/30, 62, , 10
2023/7/31, 64, , 13
2023/8/1, 47, , 16
2023/8/2, 55, , 16
2023/8/3, 68, , 14
2023/8/4, 59, , 15
2023/8/5, 68, , 14
2023/8/6, 69, , 11
2023/8/7, 56, , 9
2023/8/8, 52, , 18
2023/8/9, 58, , 21
2023/8/10, 87, , 17
2023/8/11, 74, , 16
2023/8/12, 56, , 13
2023/8/13, 53, , 11
2023/8/14, 38, , 12
2023/8/15, 46, , 16
2023/8/16, 50, , 17
2023/8/17, 58, , 12
2023/8/18, 58, , 17
2023/8/19, 56, , 13
2023/8/20, 73, , 11
2023/8/21, 51, , 9
2023/8/22, 53, , 13
2023/8/23, 42, , 13
2023/8/24, 58, , 14
2023/8/25, 51, , 14
2023/8/26, 47, , 12
2023/8/27, 59, , 8
2023/8/28, 56, , 12
2023/8/29, 54, , 13
2023/8/30, 55, , 12
2023/8/31, 60, , 18
2023/9/1, 69, , 17
2023/9/2, 71, , 18
2023/9/3, 72, , 15
2023/9/4, 77, , 16
2023/9/5, 54, , 10
2023/9/6, 46, , 14
2023/9/10, 75, , 10
2023/9/11, 77, , 11
2023/9/12, 49, , 10
2023/9/13, 46, , 15
2023/9/14, 54, , 15
2023/9/15, 61, , 13
2023/9/16, 62, , 14
2023/9/17, 67, , 8
2023/9/18, 63, , 14
2023/9/19, 64, , 12
2023/9/20, 65, , 14
2023/9/21, 63, , 15
2023/9/22, 77, , 13
2023/9/23, 70, , 18
2023/9/24, 72, , 11
2023/9/25, 64, , 16
2023/9/26, 74, , 14
2023/9/27, 75, , 13
2023/9/28, 65, , 17
2023/9/29, 61, , 18
2023/9/30, 59, , 15
2023/10/1, 65, , 10
2023/4/2, 80, , 12
2023/4/3, 70, , 17
2023/4/4, 68, , 17
2023/4/5, 58, , 15
2023/4/6, 83, , 8
2023/4/7, 69, , 4
2023/4/8, 39, , 8
2023/4/9, 32, , 6
2023/4/10, 43, , 12
2023/4/11, 55, , 15
2023/4/12, 54, , 16
2023/4/13, 59, , 14
2023/4/14, 69, , 17
2023/4/15, 68, , 18
2023/4/16, 87, , 14
2023/4/17, 78, , 11
2023/4/18, 58, , 4
2023/4/19, 56, , 
2023/4/20, 61, , 22
2023/4/21, 60, , 12
2023/4/22, 64, , 10
2023/4/23, 53, , 7
2023/4/24, 39, , 11
2023/4/25, 30, , 12
2023/4/26, 47, , 16
2023/4/27, 60, , 16
2023/4/28, 70, , 14
2023/4/29, 60, , 14
2023/4/30, 51, , 10
2023/5/1, 49, , 7
2023/5/2, 56, , 10
2023/5/3, 41, , 14
2023/5/4, 56, , 12
2023/5/5, 59, , 13
2023/5/6, 58, , 13
2023/5/7, 67, , 8
2023/5/8, 65, , 13
2023/5/9, 58, , 15
2023/5/10, 66, , 15
2023/5/11, 75, , 14
2023/5/12, 69, , 15
2023/5/13, 72, , 13
2023/5/14, 66, , 8
2023/5/15, 56, , 12
2023/5/16, 47, , 17
2023/5/17, 64, , 15
2023/5/18, 66, , 15
2023/5/19, 61, , 15
2023/5/20, 55, , 17
2023/5/21, 59, , 13
2023/5/23, 58, , 15
2023/5/24, 39, , 20
2023/5/25, 59, , 16
2023/5/26, 65, , 21
2023/5/27, 56, , 22
2023/5/28, 74, , 10
2023/5/31, 49, , 22
2023/6/1, 54, , 15
2023/6/2, 62, , 12
2023/6/3, 54, , 15
2023/6/4, 66, , 12
2023/6/5, 77, , 15
2023/6/6, 55, , 14
2023/6/7, 44, , 15
2023/6/8, 70, , 
2023/6/11, 55, , 11
2023/6/12, 49, , 11
2023/6/13, 45, , 16
2023/6/14, 57, , 16
2023/6/15, 62, , 13
2023/6/16, 57, , 12
2023/6/17, 53, , 10
2023/6/18, 61, , 5
2023/6/19, 50, , 7
2023/6/20, 28, , 12
2023/6/22, 63, , 12
2023/6/23, 63, , 11
2023/6/24, 57, , 10
2023/6/25, 57, , 6
2023/6/26, 57, , 11
2023/6/27, 61, , 6
2023/6/28, 51, , 7
2023/6/29, 48, , 7
2023/6/30, 53, , 11
2023/7/1, 54, , 9
2023/1/3, 79, , 15
2023/1/4, 57, , 14
2023/1/5, 60, , 11
2023/1/6, 53, , 13
2023/1/7, 64, , 11
2023/1/8, 62, , 9
2023/1/9, 52, , 9
2023/1/10, 65, , 12
2023/1/11, 67, , 11
2023/1/12, 66, , 10
2023/1/13, 73, , 11
2023/1/14, 65, , 10
2023/1/15, 102, , 8
2023/1/16, 71, , 9
2023/1/17, 56, , 11
2023/1/18, 62, , 12
2023/1/19, 85, , 6
2023/1/20, 80, , 7
2023/1/21, 71, , 9
