date, pm25
2022/2/10, 70
2022/2/11, 65
2022/2/12, 69
2022/2/13, 65
2022/2/14, 66
2022/2/15, 68
2022/2/16, 72
2022/2/17, 72
2022/2/18, 78
2022/2/19, 79
2022/2/20, 59
2022/2/21, 60
2022/2/22, 62
2022/2/23, 79
2022/2/24, 79
2022/2/25, 95
2022/2/26, 112
2022/2/27, 101
2022/2/28, 91
2022/3/1, 72
2022/3/2, 72
2022/3/3, 58
2022/3/4, 58
2022/3/5, 60
2022/3/6, 58
2022/3/7, 39
2022/3/9, 52
2022/3/10, 58
2022/3/11, 57
2022/3/12, 63
2022/3/13, 62
2022/3/14, 60
2022/3/15, 57
2022/3/16, 61
2022/3/17, 71
2022/3/18, 79
2022/3/19, 91
2022/3/20, 115
2022/3/21, 81
2022/3/22, 75
2022/3/23, 84
2022/3/24, 84
2022/3/25, 90
2022/3/26, 88
2022/3/27, 105
2022/3/28, 78
2022/3/29, 71
2022/3/30, 58
2022/3/31, 47
2022/4/1, 74
2021/10/2, 53
2021/10/3, 61
2021/10/4, 52
2021/10/5, 44
2021/10/6, 51
2021/10/7, 51
2021/10/8, 48
2021/10/9, 49
2021/10/10, 47
2021/10/11, 52
2021/10/12, 54
2021/10/13, 63
2021/10/14, 53
2021/10/15, 58
2021/10/16, 55
2021/10/17, 63
2021/10/18, 45
2021/10/19, 30
2021/10/20, 45
2021/10/21, 37
2021/10/22, 34
2021/10/23, 54
2021/10/24, 77
2021/10/25, 49
2021/10/26, 38
2021/10/27, 40
2021/10/28, 37
2021/10/29, 58
2021/10/30, 65
2021/10/31, 43
2021/11/1, 43
2021/11/2, 28
2021/11/3, 41
2021/11/4, 48
2021/11/5, 38
2021/11/6, 51
2021/11/7, 43
2021/11/8, 49
2021/11/9, 50
2021/11/10, 39
2021/11/11, 49
2021/11/12, 50
2021/11/13, 57
2021/11/14, 56
2021/11/15, 50
2021/11/16, 62
2021/11/17, 71
2021/11/18, 66
2021/11/19, 66
2021/11/20, 57
2021/11/21, 57
2021/11/22, 55
2021/11/23, 66
2021/11/24, 83
2021/11/25, 72
2021/11/26, 56
2021/11/27, 52
2021/11/28, 68
2021/11/29, 58
2021/11/30, 59
2021/12/1, 54
2021/12/2, 54
2021/12/3, 56
2021/12/4, 65
2021/12/5, 61
2021/12/6, 58
2021/12/7, 56
2021/12/8, 58
2021/12/9, 63
2021/12/10, 67
2021/12/11, 63
2021/12/12, 67
2021/12/13, 62
2021/12/14, 56
2021/12/15, 59
2021/12/16, 69
2021/12/17, 70
2021/12/18, 66
