NOMBRE_MUNICIPIO,FECHA_DE_REGISTRO,PM25,PM10,NO2,CO
SABANETA,05/10/2023,51,,,
SABANETA,04/10/2023,57,,,
SABANETA,03/10/2023,50,,,
SABANETA,10/10/2023,61,,,
SABANETA,02/10/2023,55,,,
SABANETA,31/03/2024,89,,,
SABANETA,30/03/2024,84,,,
SABANETA,29/03/2024,87,,,
SABANETA,28/03/2024,86,,,
SABANETA,27/03/2024,68,,,
SABANETA,26/03/2024,85,,,
SABANETA,25/03/2024,103,,,
SABANETA,01/04/2024,93,,,
SABANETA,11/10/2023,65,,,
SABANETA,12/10/2023,62,,,
SABANETA,13/10/2023,65,,,
SABANETA,03/11/2023,48,,,
SABANETA,02/11/2023,52,,,
SABANETA,01/11/2023,44,,,
SABANETA,31/10/2023,44,,,
SABANETA,30/10/2023,20,,,
SABANETA,29/10/2023,20,,,
SABANETA,28/10/2023,48,,,
SABANETA,27/10/2023,72,,,
SABANETA,26/10/2023,70,,,
SABANETA,21/10/2023,75,,,
SABANETA,20/10/2023,71,,,
SABANETA,19/10/2023,68,,,
SABANETA,18/10/2023,60,,,
SABANETA,17/10/2023,56,,,
SABANETA,16/10/2023,68,,,
SABANETA,15/10/2023,72,,,
SABANETA,14/10/2023,70,,,
SABANETA,24/03/2024,97,,,
SABANETA,20/05/2024,49,,,
SABANETA,23/03/2024,90,,,
SABANETA,21/03/2024,91,,,
SABANETA,28/02/2024,83,,,
SABANETA,27/02/2024,75,,,
SABANETA,26/02/2024,71,,,
SABANETA,25/02/2024,68,,,
SABANETA,24/02/2024,62,,,
SABANETA,23/02/2024,63,,,
SABANETA,22/02/2024,82,,,
SABANETA,29/02/2024,97,,,
SABANETA,21/02/2024,78,,,
SABANETA,19/02/2024,60,,,
SABANETA,18/02/2024,64,,,
SABANETA,17/02/2024,69,,,
SABANETA,16/02/2024,71,,,
SABANETA,15/02/2024,76,,,
SABANETA,14/02/2024,73,,,
SABANETA,13/02/2024,60,,,
SABANETA,20/02/2024,63,,,
SABANETA,01/03/2024,112,,,
SABANETA,02/03/2024,114,,,
SABANETA,03/03/2024,106,,,
SABANETA,20/03/2024,75,,,
SABANETA,19/03/2024,86,,,
SABANETA,18/03/2024,95,,,
SABANETA,17/03/2024,93,,,
SABANETA,16/03/2024,81,,,
SABANETA,15/03/2024,88,,,
SABANETA,14/03/2024,86,,,
SABANETA,13/03/2024,89,,,
SABANETA,12/03/2024,81,,,
SABANETA,11/03/2024,86,,,
SABANETA,10/03/2024,98,,,
SABANETA,09/03/2024,108,,,
SABANETA,08/03/2024,116,,,
SABANETA,07/03/2024,125,,,
SABANETA,06/03/2024,124,,,
SABANETA,05/03/2024,92,,,
SABANETA,04/03/2024,93,,,
SABANETA,22/03/2024,92,,,
SABANETA,19/05/2024,59,,,
SABANETA,18/05/2024,62,,,
SABANETA,17/05/2024,51,,,
SABANETA,02/08/2024,57,,,
SABANETA,01/08/2024,62,,,
SABANETA,31/07/2024,53,,,
SABANETA,30/07/2024,53,,,
SABANETA,29/07/2024,55,,,
SABANETA,28/07/2024,59,,,
SABANETA,27/07/2024,69,,,
SABANETA,03/08/2024,63,,,
